var,mean,sd,2.50%,25%,50%,75%,97.50%,Rhat,n.eff
Z[125],1,0,1,1,1,1,1,1,1
Z[126],1,0,1,1,1,1,1,1,1
Z[127],1,0,1,1,1,1,1,1,1
Z[128],1,0,1,1,1,1,1,1,1
Z[129],1,0,1,1,1,1,1,1,1
Z[13],1,0,1,1,1,1,1,1,1
Z[130],1,0,1,1,1,1,1,1,1
Z[131],1,0,1,1,1,1,1,1,1
Z[132],0.296333333,0.456715906,0,0,0,1,1,1.001145297,3000
Z[133],1,0,1,1,1,1,1,1,1
Z[134],1,0,1,1,1,1,1,1,1
Z[135],1,0,1,1,1,1,1,1,1
Z[136],1,0,1,1,1,1,1,1,1
Z[137],0,0,0,0,0,0,0,1,1
Z[138],1,0,1,1,1,1,1,1,1
Z[139],1,0,1,1,1,1,1,1,1
Z[14],0.163333333,0.369731149,0,0,0,0,1,1.000933998,3000
Z[140],1,0,1,1,1,1,1,1,1
Z[141],0.737,0.440335817,0,0,1,1,1,1.000625208,3000
Z[142],1,0,1,1,1,1,1,1,1
Z[143],1,0,1,1,1,1,1,1,1
Z[144],1,0,1,1,1,1,1,1,1
Z[145],1,0,1,1,1,1,1,1,1
Z[146],1,0,1,1,1,1,1,1,1
Z[147],1,0,1,1,1,1,1,1,1
Z[148],1,0,1,1,1,1,1,1,1
Z[149],1,0,1,1,1,1,1,1,1
Z[15],1,0,1,1,1,1,1,1,1
Z[150],1,0,1,1,1,1,1,1,1
Z[151],1,0,1,1,1,1,1,1,1
Z[152],1,0,1,1,1,1,1,1,1
Z[153],1,0,1,1,1,1,1,1,1
Z[154],1,0,1,1,1,1,1,1,1
Z[155],1,0,1,1,1,1,1,1,1
Z[156],1,0,1,1,1,1,1,1,1
Z[157],1,0,1,1,1,1,1,1,1
Z[158],1,0,1,1,1,1,1,1,1
Z[159],1,0,1,1,1,1,1,1,1
Z[16],0.176333333,0.381167048,0,0,0,0,1,1.00063719,3000
Z[160],1,0,1,1,1,1,1,1,1
Z[161],1,0,1,1,1,1,1,1,1
Z[162],1,0,1,1,1,1,1,1,1
Z[163],1,0,1,1,1,1,1,1,1
Z[164],1,0,1,1,1,1,1,1,1
Z[165],1,0,1,1,1,1,1,1,1
Z[166],1,0,1,1,1,1,1,1,1
Z[167],1,0,1,1,1,1,1,1,1
Z[168],1,0,1,1,1,1,1,1,1
Z[169],1,0,1,1,1,1,1,1,1
Z[17],0.532333333,0.49903664,0,0,1,1,1,1.003420687,690
Z[170],1,0,1,1,1,1,1,1,1
Z[171],1,0,1,1,1,1,1,1,1
Z[172],0.741,0.438158641,0,0,1,1,1,1.001763731,1600
Z[173],1,0,1,1,1,1,1,1,1
Z[174],1,0,1,1,1,1,1,1,1
Z[175],1,0,1,1,1,1,1,1,1
Z[176],0.064666667,0.245977758,0,0,0,0,1,1.000545665,3000
Z[177],1,0,1,1,1,1,1,1,1
Z[178],1,0,1,1,1,1,1,1,1
Z[179],1,0,1,1,1,1,1,1,1
Z[18],0.126666667,0.332654639,0,0,0,0,1,1.000692851,3000
Z[180],1,0,1,1,1,1,1,1,1
Z[181],0.045333333,0.208068866,0,0,0,0,1,1.003420299,2900
Z[182],0.008333333,0.090921089,0,0,0,0,0,1.01462011,3000
Z[183],0,0,0,0,0,0,0,1,1
Z[184],0.026333333,0.160151298,0,0,0,0,1,1.000610612,3000
Z[185],0,0,0,0,0,0,0,1,1
Z[186],0.340333333,0.473900217,0,0,0,1,1,1.001069455,3000
Z[187],0.086,0.280410788,0,0,0,0,1,1.000913757,3000
Z[188],1,0,1,1,1,1,1,1,1
Z[189],0,0,0,0,0,0,0,1,1
Z[19],0.290333333,0.453991841,0,0,0,1,1,1.000660832,3000
Z[190],0,0,0,0,0,0,0,1,1
Z[191],1,0,1,1,1,1,1,1,1
Z[192],0.005333333,0.07284681,0,0,0,0,0,1.065593792,1300
Z[193],0,0,0,0,0,0,0,1,1
Z[194],1,0,1,1,1,1,1,1,1
Z[195],1,0,1,1,1,1,1,1,1
Z[196],0,0,0,0,0,0,0,1,1
Z[197],0,0,0,0,0,0,0,1,1
Z[198],0,0,0,0,0,0,0,1,1
Z[199],0.101,0.301378958,0,0,0,0,1,1.000946077,3000
Z[2],0.083,0.275928213,0,0,0,0,1,1.001594199,3000
Z[20],0.139333333,0.346351761,0,0,0,0,1,1.00270481,1300
Z[200],0.203,0.402299575,0,0,0,0,1,1.000910222,3000
Z[201],0.129666667,0.33599234,0,0,0,0,1,1.001008266,3000
Z[202],0.069333333,0.254062469,0,0,0,0,1,1.000950895,3000
Z[203],0.079333333,0.270303367,0,0,0,0,1,1.000510054,3000
Z[204],0,0,0,0,0,0,0,1,1
Z[205],0.001666667,0.040797594,0,0,0,0,0,1.018973473,3000
Z[206],0.255,0.435933878,0,0,0,1,1,1.001045741,3000
Z[207],1,0,1,1,1,1,1,1,1
Z[208],0.099666667,0.299604979,0,0,0,0,1,1.000619293,3000
Z[209],0.104666667,0.306174465,0,0,0,0,1,1.000792114,3000
Z[21],0.376666667,0.484630971,0,0,0,1,1,1.000902307,3000
Z[210],1,0,1,1,1,1,1,1,1
Z[211],0.159,0.365737047,0,0,0,0,1,1.000517831,3000
Z[212],0.084333333,0.277933393,0,0,0,0,1,1.000647606,3000
Z[213],1,0,1,1,1,1,1,1,1
Z[214],1,0,1,1,1,1,1,1,1
Z[215],0.091333333,0.288130576,0,0,0,0,1,1.003407666,1500
Z[216],0.181,0.385082367,0,0,0,0,1,1.000947927,3000
Z[217],0.074666667,0.262896546,0,0,0,0,1,1.005059212,1300
Z[218],1,0,1,1,1,1,1,1,1
Z[219],1,0,1,1,1,1,1,1,1
Z[22],0.294333333,0.455818472,0,0,0,1,1,1.001427457,2200
Z[220],0,0,0,0,0,0,0,1,1
Z[221],0.057666667,0.2331509,0,0,0,0,1,1.000710655,3000
Z[222],1,0,1,1,1,1,1,1,1
Z[223],0,0,0,0,0,0,0,1,1
Z[224],0.051333333,0.220713526,0,0,0,0,1,1.003450847,2600
Z[225],0.008333333,0.090921089,0,0,0,0,0,1.009906787,3000
Z[226],0,0,0,0,0,0,0,1,1
Z[227],0.109,0.311691167,0,0,0,0,1,1.002528855,1700
Z[228],1,0,1,1,1,1,1,1,1
Z[229],0.007666667,0.087237754,0,0,0,0,0,1.014506397,3000
Z[23],0.427333333,0.494773843,0,0,0,1,1,1.001308607,2500
Z[230],0.28,0.449073738,0,0,0,1,1,1.000749358,3000
Z[231],0.000666667,0.025815584,0,0,0,0,0,1.10515895,3000
Z[232],0.489666667,0.499976547,0,0,0,1,1,1.00173267,1600
Z[233],0.133333333,0.339991304,0,0,0,0,1,1.00074226,3000
Z[234],0.000333333,0.018257419,0,0,0,0,0,1.290903825,3000
Z[235],0.057,0.231881269,0,0,0,0,1,1.000584745,3000
Z[236],1,0,1,1,1,1,1,1,1
Z[237],1,0,1,1,1,1,1,1,1
Z[238],0.24,0.427154328,0,0,0,0,1,1.000567359,3000
Z[239],1,0,1,1,1,1,1,1,1
Z[24],1,0,1,1,1,1,1,1,1
Z[240],0.060333333,0.238143079,0,0,0,0,1,1.000548861,3000
Z[241],1,0,1,1,1,1,1,1,1
Z[242],1,0,1,1,1,1,1,1,1
Z[243],1,0,1,1,1,1,1,1,1
Z[244],1,0,1,1,1,1,1,1,1
Z[245],1,0,1,1,1,1,1,1,1
Z[246],1,0,1,1,1,1,1,1,1
Z[247],1,0,1,1,1,1,1,1,1
Z[248],1,0,1,1,1,1,1,1,1
